record_00001 value_037
record_00002 value_074
record_00003 value_111
record_00004 value_148
record_00005 value_185
record_00006 value_222
record_00007 value_259
record_00008 value_296
record_00009 value_333
record_00010 value_370
record_00011 value_407
record_00012 value_444
record_00013 value_481
record_00014 value_518
record_00015 value_555
record_00016 value_592
record_00017 value_629
record_00018 value_666
record_00019 value_703
record_00020 value_740
record_00021 value_777
record_00022 value_814
record_00023 value_851
record_00024 value_888
record_00025 value_925
record_00026 value_962
record_00027 value_999
record_00028 value_036
record_00029 value_073
record_00030 value_110
record_00031 value_147
record_00032 value_184
record_00033 value_221
record_00034 value_258
record_00035 value_295
record_00036 value_332
record_00037 value_369
record_00038 value_406
record_00039 value_443
record_00040 value_480
record_00041 value_517
record_00042 value_554
record_00043 value_591
record_00044 value_628
record_00045 value_665
record_00046 value_702
record_00047 value_739
record_00048 value_776
record_00049 value_813
record_00050 value_850
record_00051 value_887
record_00052 value_924
record_00053 value_961
record_00054 value_998
record_00055 value_035
record_00056 value_072
record_00057 value_109
record_00058 value_146
record_00059 value_183
record_00060 value_220
record_00061 value_257
record_00062 value_294
record_00063 value_331
record_00064 value_368
record_00065 value_405
record_00066 value_442
record_00067 value_479
record_00068 value_516
record_00069 value_553
record_00070 value_590
record_00071 value_627
record_00072 value_664
record_00073 value_701
record_00074 value_738
record_00075 value_775
record_00076 value_812
record_00077 value_849
record_00078 value_886
record_00079 value_923
record_00080 value_960
record_00081 value_997
record_00082 value_034
record_00083 value_071
record_00084 value_108
record_00085 value_145
record_00086 value_182
record_00087 value_219
record_00088 value_256
record_00089 value_293
record_00090 value_330
record_00091 value_367
record_00092 value_404
record_00093 value_441
record_00094 value_478
record_00095 value_515
record_00096 value_552
record_00097 value_589
record_00098 value_626
record_00099 value_663
record_00100 value_700
record_00101 value_737
record_00102 value_774
record_00103 value_811
record_00104 value_848
record_00105 value_885
record_00106 value_922
record_00107 value_959
record_00108 value_996
record_00109 value_033
record_00110 value_070
record_00111 value_107
record_00112 value_144
record_00113 value_181
record_00114 value_218
record_00115 value_255
record_00116 value_292
record_00117 value_329
record_00118 value_366
record_00119 value_403
record_00120 value_440
record_00121 value_477
record_00122 value_514
record_00123 value_551
record_00124 value_588
record_00125 value_625
record_00126 value_662
record_00127 value_699
record_00128 value_736
record_00129 value_773
record_00130 value_810
record_00131 value_847
record_00132 value_884
record_00133 value_921
record_00134 value_958
record_00135 value_995
record_00136 value_032
record_00137 value_069
record_00138 value_106
record_00139 value_143
record_00140 value_180
record_00141 value_217
record_00142 value_254
record_00143 value_291
record_00144 value_328
record_00145 value_365
record_00146 value_402
record_00147 value_439
record_00148 value_476
record_00149 value_513
record_00150 value_550
record_00151 value_587
record_00152 value_624
record_00153 value_661
record_00154 value_698
record_00155 value_735
record_00156 value_772
record_00157 value_809
record_00158 value_846
record_00159 value_883
record_00160 value_920
record_00161 value_957
record_00162 value_994
record_00163 value_031
record_00164 value_068
record_00165 value_105
record_00166 value_142
record_00167 value_179
record_00168 value_216
record_00169 value_253
record_00170 value_290
record_00171 value_327
record_00172 value_364
record_00173 value_401
record_00174 value_438
record_00175 value_475
record_00176 value_512
record_00177 value_549
record_00178 value_586
record_00179 value_623
record_00180 value_660
record_00181 value_697
record_00182 value_734
record_00183 value_771
record_00184 value_808
record_00185 value_845
record_00186 value_882
record_00187 value_919
record_00188 value_956
record_00189 value_993
record_00190 value_030
record_00191 value_067
record_00192 value_104
record_00193 value_141
record_00194 value_178
record_00195 value_215
record_00196 value_252
record_00197 value_289
record_00198 value_326
record_00199 value_363
record_00200 value_400
record_00201 value_437
record_00202 value_474
record_00203 value_511
record_00204 value_548
record_00205 value_585
record_00206 value_622
record_00207 value_659
record_00208 value_696
record_00209 value_733
record_00210 value_770
record_00211 value_807
record_00212 value_844
record_00213 value_881
record_00214 value_918
record_00215 value_955
record_00216 value_992
record_00217 value_029
record_00218 value_066
record_00219 value_103
record_00220 value_140
record_00221 value_177
record_00222 value_214
record_00223 value_251
record_00224 value_288
record_00225 value_325
record_00226 value_362
record_00227 value_399
record_00228 value_436
record_00229 value_473
record_00230 value_510
record_00231 value_547
record_00232 value_584
record_00233 value_621
record_00234 value_658
record_00235 value_695
record_00236 value_732
record_00237 value_769
record_00238 value_806
record_00239 value_843
record_00240 value_880
record_00241 value_917
record_00242 value_954
record_00243 value_991
record_00244 value_028
record_00245 value_065
record_00246 value_102
record_00247 value_139
record_00248 value_176
record_00249 value_213
record_00250 value_250
record_00251 value_287
record_00252 value_324
record_00253 value_361
record_00254 value_398
record_00255 value_435
record_00256 value_472
record_00257 value_509
record_00258 value_546
record_00259 value_583
record_00260 value_620
record_00261 value_657
record_00262 value_694
record_00263 value_731
record_00264 value_768
record_00265 value_805
record_00266 value_842
record_00267 value_879
record_00268 value_916
record_00269 value_953
record_00270 value_990
record_00271 value_027
record_00272 value_064
record_00273 value_101
record_00274 value_138
record_00275 value_175
record_00276 value_212
record_00277 value_249
record_00278 value_286
record_00279 value_323
record_00280 value_360
record_00281 value_397
record_00282 value_434
record_00283 value_471
record_00284 value_508
record_00285 value_545
record_00286 value_582
record_00287 value_619
record_00288 value_656
record_00289 value_693
record_00290 value_730
record_00291 value_767
record_00292 value_804
record_00293 value_841
record_00294 value_878
record_00295 value_915
record_00296 value_952
record_00297 value_989
record_00298 value_026
record_00299 value_063
record_00300 value_100
record_00301 value_137
record_00302 value_174
record_00303 value_211
record_00304 value_248
